id,page,headword,pos,gloss,phonetic,example_nandi,example_english,concern,reviewer_action,corrected_headword,corrected_pos,corrected_gloss,corrected_phonetic,corrected_example_nandi,corrected_example_english,splits_into,reviewer_notes,reviewer_name
p104_kaiwatek_n,104,kaiwatek,noun,waste matter of diarrhea,_kaywa:t-e:k ; _kaywa:t,,Bo ne kaiwatecha? What does that waste come from?,HAS-GHOSTS,,,,,,,,,,
p104_kalamet_n,104,kalamet,noun,"pencil, pen",_kala:m-e:t ; _kala:m-a; kala:m-ô:y ; kala:m-ô:k,,Kolomok ata? How many pens?,CLEAN,,,,,,,,,,
p104_kaletanik_n,104,kaletanik,noun,"/_ka:-le:tan-ik, _ka:- le:tan-ya:, _ka:-le:tan-ya:t; _ka:-",,,,CLEAN,,,,,,,,,,
p104_ke_gol_is_vdtr,104,ke-gol-is,verb,to instigate,ke:-kal-i:s,Kogolis Arap Nyebutpei.,Arap Nyebutpei wastheinstigator.,RECONSTRUCTED,,,,,,,,,,
p105_kaliang'et_n,105,kaliang'et,noun,fly,_ka:lya:ng-et ; _ka:lya:ng;_ka:lya:ng ; _ka:lya:ngik,Kebutchi kaliang'et chego.,The fly fell in the milk.,CLEAN,,,,,,,,,,
p105_kaliet_n,105,kaliet,noun,"peace, harmony",_ka:ly-e:t ; _ka:ly-a,Mi kalia koi.,This house has peace.,CLEAN,,,,,,,,,,
p105_kalutik_n,105,kalutik,noun,heartbum,_ka:lu:t-ik ; _ka:lu:t,,Omei kalutik. (S/he) has heartbum.,CLEAN,,,,,,,,,,
p105_kalwalek_n,105,kalwalek,noun,grey hair,_ka:lwal-e:k ; _ka:lwal-ya: ; _ka:lwal-ya:t; _ka:lwal,,"Tinyei kalwalek. (S/he) has grey hair,",CLEAN,,,,,,,,,,
p105_kamaek_n,105,kamaek,noun,crisps left after rendering fat of an animal,_kama-e:k ; _kamay; _kamay-a: ; _kamay-a:t,Ingeam kamaek.,Let's eat crisps.,CLEAN,,,,,,,,,,
p105_kamanaik_n,105,kamanaik,noun,white substance oozing from eyes,_ka:mana-e:k ; _ka:manay; _ka:manayya: ; _ka:manay-ya:t,Tinyei kamanaek chicho; ingou omei konyek.,That person has white material oozing from his eyes; (it's) as though he has an eye illness.,CLEAN,,,,,,,,,,
