rank,nandi_word,frequency_in_examples,headword_id,gloss,recorded,audio_file,notes
41,ono,13,p324_ono_adv,/ano/ where? Mi ono? Where is it?,,,
42,long,13,p180_long'et_n,shield,,,
43,kutit,13,p158_kutit_n,1. mouth,,,
44,ma,12,p184_maget_n,longing,,,
45,bich,12,p042_bichi_a,"difficult, laborious, arduous, exhausting, delicate",,,
46,ingoro,11,p095_ingoro_adv,where? Ingoro lalet? Where is the horn?,,,
47,bom,11,p046_bombo_n,spigot (of well pump),,,
48,asis,11,p032_asista_n,1. sun,,,
49,ole,11,p240_ole_adv,/ole/ how,,,
50,seset,11,p262_seset_n,dog. ke-set V,,,
51,ingwek,11,p096_ingwek_n,vegetable,,,
52,age,11,p028_agenge_num,one,,,
53,ter,11,p288_ke_ter_vt,"to prevent from going astray, direct. ke-ter v.ven",,,
54,metit,10,p194_metit_n,"head, metit ab migisit the fi-ont ofthe train",,,
55,sun,10,p273_sundet_n,mesenteric fat (solid substance) worn when a sacrifice is performed to introduce,,,
56,emet,10,p086_emet_n,country. Kararan emoni. This land is beautiful. _kara:ran e:m-a:-ni/,,,
57,ropta,10,p250_ropta_n,rain,,,
58,tai,10,p281_taita_n,"1. front. 2. right (side), eut ab tai right hand",,,
59,tugul,10,p300_tugul_a,(predicative),,,
60,run,10,p251_rungut_n,"club (wooden), rungut ab ropta rain",,,
61,mut,10,p210_mut_num,"five, siling' mut five shillings",,,
62,ng'et,10,p223_ng'etet_n,boy,,,
63,bet,9,p041_betut_n,"day. bet kwen. middle ofthe day, afternoon",,,
64,bandek,9,p035_bandek_n,"Zea mays, maize",,,
65,eut,9,p088_eut_n,hand,,,
66,yu,9,p319_yu_adv,"/yu, yu-ta(k) (emph.)/ [cf yo there, yun yonder] here",,,
67,rub,9,p251_rubet_n,hunger(cf iljet),,,
68,lot,9,p180_ke_lot_vt,"to defeat s.o (in an argument, court case, struggle, competition)",,,
69,ra,9,p243_ramba_a,wide open (of cow's horns which curve outwards),,,
70,kimiet,9,p127_kimiet_n,"homemade bread made by boiling millet or maize flour, stiff polenta, combread",,,
71,keldo,9,p113_keldo_n,"foot, leg",,,
72,sit,9,p269_ke_sit_vt,"1. to polish, shine. 2. brush (teeth)",,,
73,kat,9,p111_katam_n,left (side),,,
74,keringet,8,p117_keringet_n,hole,,,
75,kowet,8,p170_kowet_n,"bone, mwait ab kowet marrow",,,
76,orit,8,p241_orit_n,inside,,,
77,barak,8,p036_barak_n,"1. up, above",,,
78,kitio,8,p144_kitio_adv,/kityo/ alone. kitio. (S/he) is alone,,,
79,itit,8,p098_itit_n,ear. itit ab Jelagat,,,
80,moita,8,p199_moita_n,calf,,,
81,karit,8,p109_karit_n,"car, vehicle",,,
82,un,8,p311_unyet_n,suspicion,,,
83,sotet,8,p271_sotet_n,"gourd, calabash, ki-sub V",,,
84,mar,8,p187_marich_a,1. narrow,,,
85,mur,8,p208_mur_a,"dirty, rust-coloured (alsomurwan)",,,
86,ng'u,8,p228_ng'utum_a,blunt,,,
87,sir,8,p267_siret_n,market,,,
88,tor,8,p299_ke_tor_vt,"to spear, poke (at), prick, stab",,,
89,kigombet,7,p125_kigombet_n,cup,,,
90,artet,7,p032_artet_n,sheep or goat,,,
91,sang',7,p257_sang'ut_a,"sour-looking, eery, creepy, strange",,,
92,kararan,7,p109_kararan_a,"beautiful, delightful, nice",,,
93,maiyek,7,p184_maiyek_n,"beer, alcohol",,,
94,eng,7,p087_eng'_p,in. eng orit in the inside,,,
95,oinet,7,p323_oinet_n,river,,,
96,men,7,p191_menet_n,"clay, menet ab teret the clay of the pot men-e:t _a:p tere:t/ meng'eng'iat",,,
97,old,7,p239_oldo_n,1. place,,,
98,bororiet,7,p047_bororiet_n,group of people who had settled together and established a history of common int,,,
99,many,7,p186_ke_many_vt,to bring bad luck or cause to fail by talking about in envy,,,
100,chaik,7,p055_chaik_n,tea (pi. only). lyo chai! Make tea!,,,
101,konda,7,p148_konda_n,"hole, kond ab kong' peep-hole (i.e. hole of the eye)",,,
102,chito,7,p075_chito_n,person (see also bik). chito ne bo Eldoret a person ofEldoret,,,
103,ogobo,7,p322_ogobo_p,"/akopa/ 1. because of, on account of, by virtue of, about, for the sakeof",,,
104,sis,7,p268_sisit_num,eight,,,
105,nyo,6,p236_nyogor_a,coward,,,
106,imbaret,6,p091_imbaret_n,field (cultivated),,,
107,kel,6,p113_kel_n,"1. bottom, ket kel bottom of the tree",,,
108,ib,6,p089_ibak_adv,/ ipak/ then,,,
109,biut,6,p045_biut_n,"1. cattle enclosure, kraal, corral",,,
110,chom,6,p083_chomiet_n,"love, affection (mutual), romance, harmony, chomiet ab Jehoba God's love",,,
111,chot,6,p078_ke_chot_vi,"1. to die slowly, pine away, rot away, moulder",,,
112,ng'atatek,6,p221_ng'atatek_n,"dung, mud",,,
113,rotwet,6,p251_rotwet_n,"knife, rotwet ab baniek meat knife, butcher's knife",,,
114,chor,6,p077_chorset_n,"stealing, thievery",,,
115,tany,6,p283_tany_n,Many/ 1. cow (see teta),,,
116,kond,6,p148_konda_n,"hole, kond ab kong' peep-hole (i.e. hole of the eye)",,,
117,il,6,p090_ilet_n,lightning,,,
118,leg,6,p174_legei_a,spotted,,,
119,oeng',6,p322_oeng'_num,a-mac-e ae:ng/ Mi oeng'u,,,
120,katit,6,p111_katit_n,neck,,,
121,mugul,6,p203_mugul_a,round,,,
122,ui,6,p309_ui_a,"hard, difficult",,,
123,ker,6,p117_keret_n,seeing,,,
124,nego,6,p218_nego_n,sheep and/or goats (see artet),,,
125,teret,6,p289_teret_n,ter-e:t _a:p inkw-e:k/ teret ab kimoi cooking pot (for cooking kimiet),,,
126,min,6,p195_mindet_n,red duiker,,,
127,rab,6,p242_rabait_n,rabbi,,,
128,te,6,p284_te_adv,"how (much, big, far)",,,
129,ti,6,p290_tia_adv,Ijyk'.l how much (of a quantity)? Tia rabinik? How much money is it?,,,
130,tum,6,p302_tumda_n,giant,,,
131,ur,6,p312_urwet_n,shade. ko-us V. /ko-us/ 1. to blow (of wind),,,
132,somok,5,p270_somok_num,"/somok/ three, somsom",,,
133,rich,5,p247_ke_rich_vt,to make flow of water back up (for cattle to drink),,,
134,al,5,p029_aldai_n,"southwest, southwest Nandi. ki-algat v",,,
135,anyiny,5,p031_anyiny_a,"sweet, tasty, delicious",,,
136,ng'wan,5,p229_ng'wan_a,1 bitter,,,
137,bendo,5,p039_bendo_n,meat,,,
138,kurget,5,p156_kurget_n,door,,,
139,bit,5,p044_bitet_n,"character (quality of person), characteristic, disposition",,,
140,buch,5,p047_buch_adv,"nothing, gratis; in vain, to no purpose; nonsense",,,
141,chit,5,p075_chito_n,person (see also bik). chito ne bo Eldoret a person ofEldoret,,,
142,chob,5,p075_chobony_a,"bright, brainy",,,
143,moet,5,p197_moet_n,"1. stomach, belly. O moet",,,
144,kerge,5,p117_kerge_a,be alike,,,
145,ket,5,p120_keter_n,under eaves,,,
146,bend,5,p039_bendo_n,meat,,,
147,too,5,p309_toot_n,guest. u u ke-u V,,,
148,koi,5,p146_koi_adv,"long, tall, A Fm lanky. koi kosirin (asirin) taller than you",,,
149,kamet,5,p106_kamet_n,"mother, mother's sister (used in reference, not direct address)",,,
150,kwen,5,p161_kwendet_n,firewood,,,
151,tui,5,p301_tui_a,black,,,
152,mind,5,p195_mindet_n,red duiker,,,
153,gut,5,p157_ke_gut_vt,"1. to scrape, plane, kegut muito to scrape the hide",,,
